tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
400x400,conjunto 2,1,79034,72,"82,60"
400x400,conjunto 2,2,76090,72,"82,60"
400x400,conjunto 2,3,77229,70,"82,60"
400x400,conjunto 2,4,76829,71,"82,60"
400x400,conjunto 2,5,79634,78,"82,60"
400x400,conjunto 2,6,80892,66,"82,60"
400x400,conjunto 2,7,75737,62,"82,60"
400x400,conjunto 2,8,79312,77,"82,60"
400x400,conjunto 2,9,82229,68,"82,60"
400x400,conjunto 2,10,79310,74,"82,60"
400x400,conjunto 4,1,95685,145,"177,60"
400x400,conjunto 4,2,98201,161,"177,60"
400x400,conjunto 4,3,93719,161,"177,60"
400x400,conjunto 4,4,102977,163,"177,60"
400x400,conjunto 4,5,101694,168,"177,60"
400x400,conjunto 4,6,101900,168,"177,60"
400x400,conjunto 4,7,101892,157,"177,60"
400x400,conjunto 4,8,102357,169,"177,60"
400x400,conjunto 4,9,105907,170,"177,60"
400x400,conjunto 4,10,97227,168,"177,60"
400x400,conjunto 6,1,123232,232,"254,80"
400x400,conjunto 6,2,124902,239,"254,80"
400x400,conjunto 6,3,143166,238,"254,80"
400x400,conjunto 6,4,121586,244,"254,80"
400x400,conjunto 6,5,122975,239,"254,80"
400x400,conjunto 6,6,137985,246,"254,80"
400x400,conjunto 6,7,124022,244,"254,80"
400x400,conjunto 6,8,122994,235,"254,80"
400x400,conjunto 6,9,65868,253,"254,80"
400x400,conjunto 6,10,125905,246,"254,80"
400x400,conjunto 8,1,145512,286,"302,80"
400x400,conjunto 8,2,161744,290,"302,80"
400x400,conjunto 8,3,157761,291,"302,80"
400x400,conjunto 8,4,157592,294,"302,80"
400x400,conjunto 8,5,80244,296,"302,80"
400x400,conjunto 8,6,154676,294,"302,80"
400x400,conjunto 8,7,153946,289,"302,80"
400x400,conjunto 8,8,151811,297,"302,80"
400x400,conjunto 8,9,153547,298,"302,80"
400x400,conjunto 8,10,153917,294,"302,80"
400x400,conjunto 10,1,178725,323,"331,40"
400x400,conjunto 10,2,170912,326,"331,40"
400x400,conjunto 10,3,175086,324,"331,40"
400x400,conjunto 10,4,178997,322,"331,40"
400x400,conjunto 10,5,175206,321,"331,40"
400x400,conjunto 10,6,173855,324,"331,40"
400x400,conjunto 10,7,180607,328,"331,40"
400x400,conjunto 10,8,181357,324,"331,40"
400x400,conjunto 10,9,180157,319,"331,40"
400x400,conjunto 10,10,175019,322,"331,40"
400x400,conjunto 14,1,225763,356,"361,70"
400x400,conjunto 14,2,223132,358,"361,70"
