tamanho,conjunto,S*,Sol.
400x400,2,71.00,82.60
400x400,4,163.00,177.60
400x400,6,241.60,254.80
400x400,8,292.90,302.80
400x400,10,323.30,331.40
400x400,14,356.70,361.70
400x400,18,373.30,375.60
400x400,20,378.10,380.40
400x400,24,384.70,386.70
400x400,28,389.30,390.10
400x400,30,390.60,391.70
400x400,34,393.10,393.90
600x600,2,105.80,125.40
600x600,4,242.60,266.40
600x600,6,361.50,379.20
600x600,8,438.30,452.60
600x600,10,484.80,494.50
600x600,14,533.30,540.10
600x600,18,558.00,562.00
600x600,20,566.20,569.90
600x600,24,576.60,577.30
600x600,28,583.00,584.20
600x600,30,585.30,586.60
600x600,34,588.60,590.00
600x600,38,591.10,591.60
600x600,40,592.20,592.90
800x800,2,136.40,161.50
800x800,4,322.50,354.70
800x800,6,480.60,504.20
800x800,8,581.90,596.60
800x800,10,647.50,658.50
800x800,14,713.10,720.50
800x800,18,744.60,749.80
800x800,20,755.00,758.40
800x800,24,767.90,770.60
800x800,28,776.90,778.00
800x800,30,780.20,781.20
800x800,34,784.80,785.30
800x800,38,787.60,788.90
800x800,40,789.50,789.80
800x800,44,791.30,791.90
800x800,48,792.80,793.20
800x800,50,793.40,793.80
1000x1000,2,171.40,200.80
1000x1000,4,399.60,439.30
1000x1000,6,604.60,630.90
1000x1000,8,729.00,748.60
1000x1000,10,808.10,821.20
1000x1000,14,890.90,899.10
1000x1000,18,931.50,935.10
1000x1000,20,942.90,945.90
1000x1000,24,960.90,962.90
1000x1000,28,971.30,972.10
1000x1000,30,974.80,975.30
1000x1000,34,980.70,981.60
1000x1000,38,984.70,985.00
1000x1000,40,986.40,986.70
1000x1000,44,988.90,989.20
1000x1000,48,990.80,991.40
1000x1000,50,991.70,991.60
1000x1000,54,993.00,992.90
