tamanho,conjunto,instancia,PT_MOSP,BRKGA,SA,SND
400x400,2,1,72,113,141,104
400x400,2,2,72,116,147,101
400x400,2,3,70,107,137,98
400x400,2,4,70,110,136,100
400x400,2,5,77,112,143,108
400x400,2,6,65,104,135,96
400x400,2,7,60,98,128,88
400x400,2,8,76,115,147,112
400x400,2,9,69,109,140,101
400x400,2,10,74,122,142,104
400x400,4,1,145,189,221,181
400x400,4,2,160,215,230,195
400x400,4,3,161,211,229,190
400x400,4,4,163,210,233,193
400x400,4,5,168,212,237,199
400x400,4,6,168,212,241,204
400x400,4,7,158,206,229,191
400x400,4,8,168,208,239,198
400x400,4,9,170,227,244,200
400x400,4,10,167,222,237,201
400x400,6,1,232,281,296,260
400x400,6,2,239,298,301,272
400x400,6,3,238,294,299,266
400x400,6,4,243,302,306,275
400x400,6,5,239,293,303,269
400x400,6,6,246,296,304,277
400x400,6,7,243,299,302,274
400x400,6,8,235,294,298,264
400x400,6,9,252,297,309,283
400x400,6,10,244,298,302,276
400x400,8,1,285,339,334,316
400x400,8,2,290,338,337,316
400x400,8,3,289,343,337,320
400x400,8,4,292,341,336,323
400x400,8,5,296,343,341,324
400x400,8,6,294,340,339,322
400x400,8,7,288,346,334,317
400x400,8,8,298,346,341,326
400x400,8,9,300,344,344,329
400x400,8,10,293,341,340,317
400x400,10,1,324,362,357,348
400x400,10,2,327,360,359,352
400x400,10,3,324,355,359,344
400x400,10,4,322,367,358,347
400x400,10,5,321,365,357,347
400x400,10,6,323,362,359,347
400x400,10,7,329,360,362,354
400x400,10,8,324,365,359,351
400x400,10,9,319,367,354,343
400x400,10,10,322,364,356,351
400x400,14,1,355,386,376,374
400x400,14,2,359,385,378,372
400x400,14,3,357,382,377,375
400x400,14,4,355,385,375,369
400x400,14,5,356,385,376,372
400x400,14,6,357,383,377,370
400x400,14,7,359,386,377,374
400x400,14,8,358,385,378,373
400x400,14,9,357,384,377,373
400x400,14,10,355,385,375,372
400x400,18,1,372,390,385,381
400x400,18,2,372,388,385,383
400x400,18,3,373,391,385,383
400x400,18,4,371,391,384,379
400x400,18,5,373,391,385,384
400x400,18,6,374,392,385,382
400x400,18,7,374,391,386,385
400x400,18,8,374,391,385,386
400x400,18,9,372,390,385,383
400x400,18,10,372,388,385,381
400x400,20,1,378,393,387,387
400x400,20,2,378,392,388,386
