Concorrente,Grupo,Instâncias,Wins,Ties,Losses,p_valor_ajustado,Teste
BRKGA,Global,610,610,0,0,9.03245713780598e-101,Wilcoxon
BRKGA,800x800,170,170,0,0,5.079156888292688e-29,Wilcoxon
BRKGA,600x600,140,140,0,0,2.9188854438025467e-24,Wilcoxon
BRKGA,400x400,120,120,0,0,2.8471447165807578e-21,Wilcoxon
BRKGA,1000x1000,180,180,0,0,1.5754029264251492e-30,Wilcoxon
SA,Global,610,610,0,0,9.03245713780598e-101,Wilcoxon
SA,800x800,170,170,0,0,5.079156888292688e-29,Wilcoxon
SA,600x600,140,140,0,0,2.9188854438025467e-24,Wilcoxon
SA,400x400,120,120,0,0,2.8471447165807578e-21,Wilcoxon
SA,1000x1000,180,180,0,0,1.5754029264251492e-30,Wilcoxon
SND,Global,610,610,0,0,9.03245713780598e-101,Wilcoxon
SND,800x800,170,170,0,0,5.079156888292688e-29,Wilcoxon
SND,600x600,140,140,0,0,2.9188854438025467e-24,Wilcoxon
SND,400x400,120,120,0,0,2.8471447165807578e-21,Wilcoxon
SND,1000x1000,180,180,0,0,1.5754029264251492e-30,Wilcoxon
